Id,Name,IsMandatory,IsProhibited,CanonicalName,Aliases,IsActive,IsCondiment
aa2dc2c3-3701-456b-8cd9-ea608cedc56a,Arpa Şehriye,False,False,Arpa Şehriye,"[""Arpa Şehriye"", ""arpa-şehriye"", ""arpaşehriye"", ""arpa-sehriye"", ""arpa sehriye"", ""arpasehriye"", ""orzo"", ""barley vermicelli"", ""barley-vermicelli"", ""barleyvermicelli"", ""toasted orzo"", ""toasted-orzo"", ""toastedorzo""]",True,False
2080d447-b748-4452-97b6-8526c04bceed,Asma Yaprağı,False,False,Asma Yaprağı,"[""Asma Yaprağı"", ""asma-yaprağı"", ""asmayaprağı"", ""asma-yapragi"", ""asma yapragi"", ""asmayapragi"", ""vine leaf"", ""vine-leaf"", ""vineleaf"", ""vine leaves"", ""vine-leaves"", ""vineleaves"", ""grape leaves"", ""grape-leaves"", ""grapeleaves"", ""üzüm yaprağı"", ""üzüm-yaprağı"", ""üzümyaprağı"", ""uzum-yapragi"", ""uzum yapragi"", ""uzumyapragi"", ""grape leaf"", ""grape-leaf"", ""grapeleaf"", ""sarma yaprağı"", ""sarma-yaprağı"", ""sarmayaprağı"", ""sarma-yapragi"", ""sarma yapragi"", ""sarmayapragi""]",True,False
b1b96f10-b997-4021-b734-73b2c396270f,Bakla,False,False,Bakla,"[""Bakla"", ""broad bean"", ""broad-bean"", ""broadbean"", ""fava bean"", ""fava-bean"", ""favabean"", ""broad beans"", ""broad-beans"", ""broadbeans"", ""taze bakla"", ""taze-bakla"", ""tazebakla""]",True,False
1d4c5657-d472-4c55-8654-964660fb0871,Baldo Pirinç,False,False,Baldo Pirinç,"[""Baldo Pirinç"", ""baldo-pirinç"", ""baldopirinç"", ""baldo-pirinc"", ""baldo pirinc"", ""baldopirinc"", ""baldo rice"", ""baldo-rice"", ""baldorice"", ""short grain rice"", ""short-grain-rice"", ""shortgrainrice""]",True,False
209ece7a-b6e3-476a-9d5e-e575e9987de1,Bamya,False,False,Bamya,"[""Bamya"", ""okra"", ""taze bamya"", ""taze-bamya"", ""tazebamya""]",True,False
6a19004e-24f4-422b-ad93-2ea65510688e,Barbunya,False,False,Barbunya,"[""Barbunya"", ""borlotti beans"", ""borlotti-beans"", ""borlottibeans"", ""cranberry beans"", ""cranberry-beans"", ""cranberrybeans"", ""pinto fasulyesi"", ""pinto-fasulyesi"", ""pintofasulyesi"", ""barbunya pilaki"", ""barbunya-pilaki"", ""barbunyapilaki""]",True,False
6eddd539-2585-4d37-bded-1a2658f97120,Beyaz Lahana,False,False,Beyaz Lahana,"[""Beyaz Lahana"", ""beyaz-lahana"", ""beyazlahana"", ""white cabbage"", ""white-cabbage"", ""whitecabbage"", ""cabbage"", ""lahana""]",True,False
ee000006-0000-0000-0000-000000000000,Beyaz Peynir,False,False,Beyaz Peynir,"[""Beyaz Peynir"", ""beyaz-peynir"", ""beyazpeynir"", ""white cheese"", ""white-cheese"", ""whitecheese"", ""feta"", ""feta cheese"", ""feta-cheese"", ""fetacheese"", ""taze beyaz peynir"", ""taze-beyaz-peynir"", ""tazebeyazpeynir"", ""tulum benzeri"", ""tulum-benzeri"", ""tulumbenzeri""]",True,False
4db65ffb-eca0-40e1-a221-cc19f21c0a4e,Bezelye,False,False,Bezelye,"[""Bezelye"", ""peas"", ""green peas"", ""green-peas"", ""greenpeas"", ""yeşil bezelye"", ""yeşil-bezelye"", ""yeşilbezelye"", ""yesil-bezelye"", ""yesil bezelye"", ""yesilbezelye"", ""green pea"", ""green-pea"", ""greenpea"", ""dondurulmuş bezelye"", ""dondurulmuş-bezelye"", ""dondurulmuşbezelye"", ""dondurulmus-bezelye"", ""dondurulmus bezelye"", ""dondurulmusbezelye"", ""taze bezelye"", ""taze-bezelye"", ""tazebezelye""]",True,False
02e5a3ea-592b-49fe-8a92-937c3586d36c,Börek Yufkası,False,False,Börek Yufkası,"[""Börek Yufkası"", ""börek-yufkası"", ""börekyufkası"", ""borek-yufkasi"", ""borek yufkasi"", ""borekyufkasi"", ""pastry sheets"", ""pastry-sheets"", ""pastrysheets"", ""yufka pastry"", ""yufka-pastry"", ""yufkapastry"", ""borek sheets"", ""borek-sheets"", ""boreksheets""]",True,False
